iter	MultiClass
0	1.355528436
1	1.3194115
2	1.287923695
3	1.263441437
4	1.241590648
5	1.221887398
6	1.205021224
7	1.189736328
8	1.178206369
9	1.168056898
10	1.156758168
11	1.147408648
12	1.139497517
13	1.13130485
14	1.125371182
15	1.119416655
16	1.112594806
17	1.107214379
18	1.102696812
19	1.098591969
20	1.093863283
21	1.089341855
22	1.085245242
23	1.081603861
24	1.078177049
25	1.074541376
26	1.071308957
27	1.067957264
28	1.065579917
29	1.064365657
30	1.061623981
31	1.060243742
32	1.05880052
33	1.056513032
34	1.054697741
35	1.053403105
36	1.051342454
37	1.049359545
38	1.048023165
39	1.0460213
40	1.044831189
41	1.044061246
42	1.043232137
43	1.042568197
44	1.040579863
45	1.040056753
46	1.038871946
47	1.037556496
48	1.036274793
49	1.035039387
50	1.033531436
51	1.0320311
52	1.030065883
53	1.028776416
54	1.02876502
55	1.027475932
56	1.026109763
57	1.025169139
58	1.02417171
59	1.022215216
60	1.022174036
61	1.021536594
62	1.020573972
63	1.019153978
64	1.018681798
65	1.018130298
66	1.017636529
67	1.016534739
68	1.015394514
69	1.014671328
70	1.01347118
71	1.012114219
72	1.010472472
73	1.009564163
74	1.007569083
75	1.006226242
76	1.005373049
77	1.004526844
78	1.004211049
79	1.003656112
80	1.002124497
81	1.001887238
82	1.000745051
83	1.000014963
84	0.9993826313
85	0.998540804
86	0.9979021917
87	0.9960932818
88	0.9955733107
89	0.9936379418
90	0.9930790869
91	0.9923193143
92	0.9916942802
93	0.99056244
94	0.9886034944
95	0.9884558377
96	0.9877185017
97	0.9870417919
98	0.9862579201
99	0.9854733206
100	0.98511612
101	0.9845002613
102	0.9843195955
103	0.9837259806
104	0.982695488
105	0.9823445671
106	0.9807525325
107	0.9804389622
108	0.9795885222
109	0.9790449864
110	0.9785494307
111	0.9777320605
112	0.9773176539
113	0.9768735855
114	0.9756705101
115	0.9748859933
116	0.9737827605
117	0.9729890813
118	0.9718219192
119	0.9712511629
120	0.9708103751
121	0.9696538162
122	0.9686501404
123	0.9679843638
124	0.9674202188
125	0.9668444011
126	0.9662899994
127	0.9651373791
128	0.9649498298
129	0.9644814238
130	0.9635748306
131	0.9633074922
132	0.9628171703
133	0.9618351935
134	0.9611237664
135	0.9601690012
136	0.9596153084
137	0.9586570564
138	0.9584212873
139	0.9575228196
140	0.9567535757
141	0.9564007204
142	0.9556718068
143	0.9548270521
144	0.9539854773
145	0.9536235887
146	0.9529715643
147	0.9521664751
148	0.9516960274
149	0.9510112794
150	0.9499915366
151	0.9491288577
152	0.9482072179
153	0.9478830664
154	0.9475326945
155	0.9466114231
156	0.9460866514
157	0.9453141351
158	0.9448559935
159	0.9444584025
160	0.9437006826
161	0.9430145741
162	0.9418969765
163	0.9416038959
164	0.9405203003
165	0.9398784533
166	0.9392991727
167	0.9385580191
168	0.937763315
169	0.9370634243
170	0.9365193062
171	0.9355630781
172	0.9352949199
173	0.9345423541
174	0.9339925202
175	0.9334295005
176	0.9328925048
177	0.932168782
178	0.9315918115
179	0.9307449346
180	0.9297916367
181	0.9292384798
182	0.9285217329
183	0.9281439924
184	0.9277865566
185	0.9266303868
186	0.925867151
187	0.9254162198
188	0.9250765196
189	0.9239854747
190	0.923656554
191	0.9232706299
192	0.9222752187
193	0.9213128105
194	0.9208716867
195	0.9201059695
196	0.9186289544
197	0.9178659722
198	0.9169481218
199	0.9162080642
200	0.9155965957
201	0.9150928718
202	0.9149792135
203	0.9138798938
204	0.9132860778
205	0.9125359409
206	0.9121676057
207	0.9110669557
208	0.9105300506
209	0.9100318386
210	0.9089912084
211	0.9081798154
212	0.9075612118
213	0.9068732878
214	0.9059685665
215	0.9057617111
216	0.9051665822
217	0.9048113925
218	0.904245316
219	0.9035280772
220	0.903243366
221	0.9026516262
222	0.901472337
223	0.9005635266
224	0.9001216194
225	0.8993796232
226	0.8987206303
227	0.8978717116
228	0.8974774868
229	0.897237827
230	0.8968143239
231	0.89636352
232	0.8956145949
233	0.8946643999
234	0.8939727089
235	0.8935389003
236	0.8931677826
237	0.8926635606
238	0.8917725365
239	0.8915274689
240	0.8906836238
241	0.8901526901
242	0.8894907009
243	0.8887992436
244	0.8875540997
245	0.8870867352
246	0.8860429182
247	0.8854674534
248	0.8853301517
249	0.8844692437
250	0.8837508474
251	0.8833103604
252	0.8825571471
253	0.882011316
254	0.8815111973
255	0.8808851448
256	0.8804020288
257	0.8797448158
258	0.8792541566
259	0.8787777645
260	0.8786354489
261	0.8781130614
262	0.8777687691
263	0.8773754454
264	0.8769550098
265	0.8759001046
266	0.8747563373
267	0.8740506833
268	0.8733116348
269	0.8725204689
270	0.8719965007
271	0.8717554292
272	0.8711279146
273	0.8703340643
274	0.8698472312
275	0.8695046405
276	0.868863481
277	0.8679501094
278	0.8674674099
279	0.8670130694
280	0.8658709127
281	0.8654586528
282	0.8648661794
283	0.8642338778
284	0.8634095049
285	0.8628017728
286	0.8625477827
287	0.8617131565
288	0.8609035913
289	0.8605959408
290	0.8597390018
291	0.8594178706
292	0.8589924791
293	0.8577016601
294	0.8569790752
295	0.8567232161
296	0.8561930172
297	0.8556505136
298	0.8547488642
299	0.8542675763
300	0.8534520952
301	0.8528360742
302	0.8527510888
303	0.8521497149
304	0.8511380703
305	0.8504263091
306	0.8497002263
307	0.8494644648
308	0.8487141722
309	0.8483666444
310	0.8476136552
311	0.8467505426
312	0.8455042606
313	0.8448370489
314	0.8446206771
315	0.8435991552
316	0.8433391519
317	0.8429171632
318	0.841919949
319	0.8414468191
320	0.8410920512
321	0.8405204241
322	0.8399289027
323	0.8393766022
324	0.838891122
325	0.8387883724
326	0.8382919274
327	0.8376151332
328	0.8371041994
329	0.8360715686
330	0.8355795807
331	0.8346163927
332	0.833961363
333	0.8336185638
334	0.8333496661
335	0.8328088476
336	0.8323416317
337	0.8314623005
338	0.8305586347
339	0.8298917578
340	0.8292279595
341	0.8287801691
342	0.828206812
343	0.8271946095
344	0.8263090124
345	0.8258192049
346	0.8249869924
347	0.8244610274
348	0.8234851512
349	0.8222737151
350	0.8221551714
351	0.8217696713
352	0.8211470774
353	0.8208641813
354	0.8203109761
355	0.8194566652
356	0.8189244968
357	0.8183165817
358	0.8177833934
359	0.8172575137
360	0.8166228042
361	0.8161623407
362	0.8158041409
363	0.8151069506
364	0.8145321868
365	0.8140862432
366	0.8131571626
367	0.8126666124
368	0.812005931
369	0.8116564607
370	0.8112461908
371	0.8107043387
372	0.8099388497
373	0.809299513
374	0.8088639952
375	0.8083637257
376	0.8075538848
377	0.8073498327
378	0.8064056098
379	0.8058636632
380	0.8052450057
381	0.8042857537
382	0.8041698775
383	0.8035513425
384	0.8031027646
385	0.8026465979
386	0.8020985418
387	0.8016383817
