iter	Passed	Remaining
0	297	297273
1	553	276100
2	727	241690
3	984	245110
4	1177	234280
5	1439	238433
6	1600	226982
7	1739	215694
8	1867	205684
9	2032	201225
10	2154	193666
11	2316	190732
12	2438	185126
13	2559	180288
14	2692	176815
15	2854	175542
16	2968	171658
17	3098	169062
18	3234	166994
19	3353	164318
20	3466	161625
21	3612	160582
22	3733	158586
23	3866	157240
24	3996	155862
25	4132	154798
26	4272	153976
27	4433	153889
28	4555	152542
29	4712	152368
30	4868	152169
31	4993	151067
32	5146	150810
33	5296	150471
34	5410	149168
35	5520	147838
36	5667	147519
37	5810	147107
38	5944	146475
39	6067	145624
40	6273	146737
41	6448	147091
42	6609	147106
43	6799	147740
44	7012	148812
45	7210	149543
46	7395	149955
47	7597	150674
48	7801	151418
49	7982	151664
50	8135	151386
51	8336	151987
52	8488	151664
53	8629	151175
54	8674	149041
55	8835	148944
56	9005	148993
57	9153	148661
58	9289	148166
59	9460	148210
60	9544	146928
61	9694	146666
62	9870	146810
63	10040	146843
64	10217	146978
65	10392	147069
66	10520	146501
67	10643	145874
68	10823	146040
69	10944	145408
70	11140	145765
71	11269	145252
72	11402	144801
73	11513	144071
74	11658	143792
75	11817	143674
76	12002	143878
77	12171	143876
78	12303	143435
79	12474	143459
80	12608	143054
81	12775	143025
82	12935	142911
83	13077	142612
84	13206	142162
85	13347	141858
86	13478	141442
87	13640	141364
88	13817	141437
89	13983	141393
90	14167	141523
91	14329	141421
92	14462	141050
93	14642	141130
94	14803	141024
95	14943	140718
96	15105	140619
97	15266	140514
98	15413	140282
99	15572	140154
100	15734	140055
101	15910	140074
102	16086	140095
103	16260	140089
104	16424	140002
105	16607	140064
106	16828	140446
107	17009	140486
108	17202	140617
109	17386	140669
110	17574	140756
111	17736	140629
112	17970	141061
113	18130	140906
114	18283	140706
115	18504	141018
116	18696	141103
117	18875	141084
118	19074	141216
119	19250	141167
120	19427	141131
121	19640	141348
122	19791	141115
123	19983	141172
124	20190	141330
125	20356	141202
126	20556	141304
127	20825	141876
128	21058	142183
129	21247	142196
130	21447	142272
131	21642	142315
132	21887	142681
133	22208	143525
134	22434	143747
135	22661	143967
136	22854	143965
137	23101	144299
138	23349	144634
139	23549	144661
140	23795	144966
141	24034	145221
142	24257	145375
143	24475	145492
144	24681	145536
145	24868	145464
146	25071	145483
147	25234	145271
148	25406	145109
149	25573	144913
150	25783	144967
151	26013	145130
152	26187	144970
153	26383	144939
154	26608	145058
155	26899	145530
156	27192	146006
157	27399	146016
158	27615	146069
159	27881	146377
160	28081	146338
161	28258	146174
162	28427	145973
163	28564	145609
164	28728	145382
165	28896	145178
166	29046	144883
167	29203	144625
168	29341	144277
169	29504	144049
170	29646	143725
171	29823	143567
172	29997	143398
173	30120	142987
174	30256	142638
175	30395	142307
176	30553	142065
177	30707	141808
178	30859	141541
179	31027	141345
180	31225	141291
181	31406	141157
182	31558	140893
183	31716	140656
184	31873	140417
185	32058	140298
186	32199	139991
187	32359	139765
188	32536	139612
189	32701	139412
190	32858	139174
191	33016	138944
192	33168	138688
193	33337	138504
194	33489	138250
195	33658	138067
196	33819	137854
197	33981	137642
198	34149	137457
199	34308	137234
200	34480	137065
201	34635	136825
202	34788	136583
203	34962	136422
204	35105	136139
205	35279	135978
206	35440	135771
207	35590	135518
208	35764	135356
209	35939	135201
210	36110	135028
211	36290	134891
212	36480	134790
213	36700	134798
214	36932	134845
215	37136	134791
216	37323	134672
217	37517	134579
218	37715	134500
219	37874	134283
220	38056	134143
221	38210	133908
222	38391	133768
223	38573	133630
224	38717	133361
225	38887	133180
226	39053	132987
227	39215	132783
228	39377	132577
229	39552	132413
230	39732	132269
231	39898	132077
232	40053	131849
233	40215	131646
234	40364	131399
235	40521	131179
236	40668	130929
237	40846	130776
238	41000	130548
239	41174	130384
240	41360	130259
241	41517	130043
242	41681	129846
243	41827	129596
244	42006	129450
245	42182	129292
246	42352	129115
247	42477	128803
248	42642	128612
249	42818	128455
250	43001	128320
251	43152	128087
252	43328	127930
253	43482	127707
254	43662	127561
255	43823	127362
256	44001	127211
257	44181	127065
258	44334	126841
259	44486	126616
260	44646	126413
261	44779	126135
262	44943	125945
263	45100	125734
264	45264	125544
265	45412	125311
266	45571	125109
267	45735	124919
268	45938	124837
269	46145	124762
270	46338	124652
271	46522	124515
272	46711	124392
273	46915	124309
274	47128	124246
275	47309	124101
276	47492	123961
277	47677	123823
278	47806	123543
279	47980	123377
280	48166	123245
281	48341	123082
282	48463	122786
283	48637	122622
284	48820	122479
285	48989	122302
286	49136	122071
287	49300	121880
288	49477	121724
289	49645	121545
290	49820	121384
291	50008	121253
292	50171	121062
293	50347	120902
294	50592	120906
295	50767	120745
296	50927	120544
297	51102	120382
298	51271	120204
299	51441	120029
300	51615	119865
301	51793	119708
302	51950	119503
303	52124	119337
304	52284	119139
305	52435	118922
306	52598	118732
307	52754	118525
308	52910	118321
309	53055	118091
310	53197	117855
311	53360	117667
312	53542	117518
313	53696	117311
314	53871	117149
315	53994	116874
316	54144	116659
317	54298	116452
318	54473	116289
319	54633	116095
320	54811	115940
321	54985	115776
322	55140	115572
323	55305	115390
324	55464	115196
325	55642	115039
326	55842	114929
327	56035	114804
