iter	Passed	Remaining
0	127	101906
1	214	85710
2	279	74146
3	346	68940
4	440	69978
5	556	73644
6	635	71941
7	712	70554
8	791	69591
9	885	69958
10	945	67810
11	998	65540
12	1043	63147
13	1090	61243
14	1134	59389
15	1179	57800
16	1225	56446
17	1270	55191
18	1316	54109
19	1360	53071
20	1404	52111
21	1457	51545
22	1509	50989
23	1576	50987
24	1626	50431
25	1676	49903
26	1718	49196
27	1756	48431
28	1795	47727
29	1836	47129
30	1877	46568
31	1919	46075
32	1963	45637
33	2002	45110
34	2041	44624
35	2082	44192
36	2120	43737
37	2160	43319
38	2199	42918
39	2241	42588
40	2280	42213
41	2318	41849
42	2358	41520
43	2398	41203
44	2442	40986
45	2481	40678
46	2522	40418
47	2565	40193
48	2603	39907
49	2642	39639
50	2685	39441
51	2744	39479
52	2807	39572
53	2861	39529
54	2930	39697
55	2983	39635
56	3045	39702
57	3105	39728
58	3171	39826
59	3229	39824
60	3297	39950
61	3370	40123
62	3442	40272
63	3506	40330
64	3564	40309
65	3620	40262
66	3678	40239
67	3751	40389
68	3798	40244
69	3839	40043
70	3885	39896
71	3931	39752
72	3979	39634
73	4023	39470
74	4064	39288
75	4107	39128
76	4150	38974
77	4198	38867
78	4241	38710
79	4283	38553
80	4335	38481
81	4376	38322
82	4418	38165
83	4457	37996
84	4495	37811
85	4534	37644
86	4572	37470
87	4610	37304
88	4651	37161
89	4692	37015
90	4731	36860
91	4771	36716
92	4810	36571
93	4851	36438
94	4896	36334
95	4934	36184
96	4975	36057
97	5017	35942
98	5055	35796
99	5093	35653
100	5134	35535
101	5172	35396
102	5211	35263
103	5251	35143
104	5290	35018
105	5328	34885
106	5366	34759
107	5408	34651
108	5447	34536
109	5487	34419
110	5528	34313
111	5566	34194
112	5604	34076
113	5645	33970
114	5683	33856
115	5724	33753
116	5777	33725
117	5826	33673
118	5880	33651
119	5931	33613
120	5982	33569
121	6034	33535
122	6083	33485
123	6135	33446
124	6184	33397
